Agency,URL,Title,Description,Modified,Identifier,Access,Periodicity,License
EPA,http://www.epa.gov/ogwdw/databases.html,Drinking Water Mapping Application (DWMA),"The Drinking Water Mapping Application (DWMA) is a web-based geographic information system (GIS) that enhances the capabilities to identify major contaminant risks to public drinking water supplies. The DWMA includes functionality for both surface and ground-water based public water systems, including a well visualization tool (under development), non-point source and non-NHD data layer analyses, and multi-program analyses.",2006-12-15T05:00:00Z,{856C6DCD-510B-692E-F1CD-3B60A33D5D92},public,irregular,https://edg.epa.gov/EPA_Data_License.html
EPA,http://geodata.epa.gov/ArcGIS/rest/services/OA/SLD_Trans30/MapServer,Jobs within a 30-minute transit ride - Service,"This mapping service summarizes the total number of jobs that can be reached within 30 minutes by transit. EPA modeled accessibility via transit by calculating total travel time between block group centroids inclusive of walking to/from transit stops, wait times, and transfers. Block groups that can be accessed in 30 minutes or less from the origin block group are considered accessible. Values reflect public transit service in December 2012 and employment counts in 2010. Coverage is limited to census block groups within metropolitan regions served by transit agencies who share their service data in a standardized format called GTFS. / All variable names refer to variables in EPA's Smart Location Database. For instance EmpTot10_sum summarizes total employment (EmpTot10) in block groups that are reachable within a 30-minute transit and walking commute. See Smart Location Database User Guide for full variable descriptions.",2014-03-19T04:00:00Z,{781BDD8F-2BF4-4072-86E9-FA67BC6C5E8B},public,irregular,https://edg.epa.gov/EPA_Data_License.html
EPA,https://edg.epa.gov/data/Public/OP/SLD/SLD_trans30.zip,Jobs within a 30-minute transit ride - Download,"A collection of performance indicators for consistently comparing neighborhoods (census block groups) across the US in regards to their accessibility to jobs or workers via public transit service. Accessibility was modeled by calculating total travel time between block group centroids inclusive of walking to/from transit stops, wait times, and transfers. Block groups that can be accessed in 30 minutes or less from the origin block group are considered accessible. Indicators reflect public transit service in December 2012 and employment/worker counts in 2010. Coverage is limited to census block groups within metropolitan regions served by transit agencies who share their service data in a standardized format called GTFS. / All variable names refer to variables in EPA's Smart Location Database. For instance EmpTot10_sum summarizes total employment (EmpTot10) in block groups that are reachable within a 30-minute transit and walking commute. See Smart Location Database User Guide for full variable descriptions.",2014-03-19T04:00:00Z,{1B762BFE-5C63-4CA7-81FC-5A7371295A61},public,irregular,https://edg.epa.gov/EPA_Data_License.html
EPA,http://geodata.epa.gov/ArcGIS/rest/services/OA/SLD_Trans45/MapServer,Access to Jobs and Workers via Transit - Service,"A collection of performance indicators and regional benchmarks for consistently comparing neighborhoods (census block groups) across the US in regards to their accessibility to jobs or workers via public transit service. Accessibility was modeled by calculating total travel time between block group centroids inclusive of walking to/from transit stops, wait times, and transfers. Block groups that can be accessed in 45 minutes or less from the origin block group are considered accessible. Indicators reflect public transit service in December 2012 and employment/worker counts in 2010. Coverage is limited to census block groups within metropolitan regions served by transit agencies who share their service data in a standardized format called GTFS.",2014-03-19T04:00:00Z,{09649C32-7B39-4690-BFFB-88B250F6DF1B},public,irregular,https://edg.epa.gov/EPA_Data_License.html
EPA,https://edg.epa.gov/data/Public/OP/SLD/SLD_trans45.zip,Access to Jobs and Workers via Transit - Download,"A collection of performance indicators and regional benchmarks for consistently comparing neighborhoods (census block groups) across the US in regards to their accessibility to jobs or workers via public transit service. Accessibility was modeled by calculating total travel time between block group centroids inclusive of walking to/from transit stops, wait times, and transfers. Block groups that can be accessed in 45 minutes or less from the origin block group are considered accessible. Indicators reflect public transit service in December 2012 and employment/worker counts in 2010. Coverage is limited to census block groups within metropolitan regions served by transit agencies who share their service data in a standardized format called GTFS.",2014-03-19T04:00:00Z,{8E9DDDA1-1F38-44F0-9114-CD81DC15019A},public,irregular,https://edg.epa.gov/EPA_Data_License.html
EPA,http://watersgeo.epa.gov/ArcGIS/rest/services/OWRAD_NP21/305B_NP21/MapServer/,EPA Office of Water (OW): 305(b) Assessed Waters NHDPlus Indexed Dataset,"The 305(b) program system provide assessed water data and assessed water features for river segments, lakes, and estuaries designated under Section 305(b) of the Clean Water Act. 305(b) waterbodies are coded onto NHDPlus v2.1 features creating area, point and linear events representing assessed and non-assessed waters. In addition to NHDPlus reach indexed data there may also be custom events (point, line, or area) that are not associated with NHDPlus and are in an EPA standard format that is compatible with EPA's Reach Address Database. These custom events are used to represent locations of 305(b) waterbodies that are not represented well in NHDPlus.",2014-08-04T04:00:00Z,{FE2FB897-3549-48F8-B89C-CEE36EA4353A},public,R/PT1S,"Although these data have been processed successfully on a computer system at the Environmental Protection Agency, no warranty expressed or implied is made regarding the accuracy or utility of the data on any other system or for general or scientific purposes, nor shall the act of distribution constitute any such warranty. It is strongly recommended that careful attention be paid to the contents of the metadata file associated with these data to evaluate data set limitations, restrictions or intended use. The U.S. Environmental Protection Agency shall not be held liable for improper or incorrect use of the data described and/or contained herein."
EPA,http://watersgeo.epa.gov/ArcGIS/rest/services/OWRAD_NP21/NPDES_NP21/MapServer/,EPA Office of Water (OW): Facilities that Discharge to Water NHDPlus Indexed Dataset,"Discharge of pollutants into waters of the United States is regulated under the National Pollutant Discharge Elimination System (NPDES), a mandated provision of the Clean Water Act. To assist with the regulation process, state and federal regulators use an information management system called the Integrated Compliance Information System (ICIS-NPDES). ICIS-NPDES stores data about NPDES facilities, permits, compliance status, and enforcement activities. ICIS-NPDES replaces the legacy Permit Compliance System (PCS).",2014-11-15T05:00:00Z,{091FC504-8762-8E7F-DCD7-513F648BC5B5},public,irregular,"Although these data have been processed successfully on a computer system at the Environmental Protection Agency, no warranty expressed or implied is made regarding the accuracy or utility of the data on any other system or for general or scientific purposes, nor shall the act of distribution constitute any such warranty. It is strongly recommended that careful attention be paid to the contents of the metadata file associated with these data to evaluate data set limitations, restrictions or intended use. The U.S. Environmental Protection Agency shall not be held liable for improper or incorrect use of the data described and/or contained herein."
EPA,http://igeo.epa.gov/ArcGIS/rest/services/OEI/FRS_ESF3/MapServer,EPA Facility Registry Service (FRS): ER_WTP,"To improve public health and the environment, the United States Environmental Protection Agency (USEPA) collects information about facilities, sites, or places subject to environmental regulation or of environmental interest.",2013-06-17T04:00:00Z,{63958777-1269-4D22-92E4-13E1285FBAFF},public,irregular,https://edg.epa.gov/EPA_Data_License.html
EPA,http://www.epa.gov/waters/geoservices/docs/navigation_delineation_service.html,EPA Water Services - Navigation Delineation Service,"The WATERS Web and Database services provide open interfaces to complex analyses. These services make extensive use of the NHD and referenced program data in the RAD, and also integrate other WATERS program data. Designed as loosely coupled modular units, the services are developed in a common architecture. The Navigation Delineation service is a service that builds upon the Navigation Service to provide an areal representation of the navigation process by linking navigated flowlines to associated areal geographies. In most cases the primary areal feature associated with NHD flowlines are the NHDPlus catchments. However the service is designed to be expanded in future versions to return results for other associated areal coverages such as Watershed Boundary Dataset (WBD) or Tiger Political layers.",2012-10-11T21:56:55Z,{D026627C-4AD7-42C8-A3B0-513E498B6DE6},public,,http://edg.epa.gov/EPA_Data_License.html
EPA,https://edg.epa.gov/data/Public/OW/Office_of_Wetlands_Oceans_and_Watersheds/NEP_BoundariesFY12.zip,National Estuary Program Study Area Boundaries,There are 28 National Estuary Programs (NEPs) in the U.S.that implement habitat protection and restoration projects with their partners. This work takes place within their study area boundaries. NEPmap contains that data from 2009 to the present.,2011-11-28T05:00:00Z,{76256B1F-5B2B-47C7-BBED-677803A61E49},public,irregular,https://edg.epa.gov/EPA_Data_License.html
EPA,http://www.epa.gov/waters/geoservices/docs/event_indexing_service.html,EPA Water Services - Event Indexing Service,"The WATERS Web and Database services provide open interfaces to complex analyses. These services make extensive use of the NHD and referenced program data in the RAD, and also integrate other WATERS program data. Designed as loosely coupled modular units, the services are developed in a common architecture. The WATERS (Watershed Assessment, Tracking & Environmental ResultS) indexing engine allows applications to programmatically index features to the medium resolution National Hydrography Dataset and to create RAD (Reach Address Database)-ready event records.",2012-10-11T21:56:55Z,{04513E92-E5E5-42A6-A566-47EC5782CDFF},public,,http://edg.epa.gov/EPA_Data_License.html
EPA,http://www.epa.gov/waters/geoservices/docs/spatial_assignment_service.html,EPA Water Services - Spatial Assignment Service,"The WATERS Web and Database services provide open interfaces to complex analyses. These services make extensive use of the NHD and referenced program data in the RAD, and also integrate other WATERS program data. Designed as loosely coupled modular units, the services are developed in a common architecture. The Spatial Assignment Service is a support service allowing users to associate spatial information with reference layers stored in WATERS (Watershed Assessment, Tracking & Environmental ResultS). The intention of the service is not to report or analyze all interactions with the reference layer but rather to assign a single result. Provided parameters allow several means to resolve multiple matches including hinting via parameters, spatial analysis, distance analysis or simple arbitrary choice.",2012-10-11T21:56:55Z,{F6A6D643-21F4-4C9C-B494-BA031AD6CF50},public,,http://edg.epa.gov/EPA_Data_License.html
EPA,http://www.epa.gov/waters/geoservices/docs/total_waters_service.html,EPA Water Services - Total Waters Geometry Service,Returns summary information about the surface water and the EPA water quality and other information within an arbitrary geometry.,2012-10-11T21:56:55Z,{FBE7C742-0964-4FFA-8201-19D0D385DB98},public,,http://edg.epa.gov/EPA_Data_License.html
EPA,http://www.epa.gov/waters/geoservices/docs/rad_event_info_service.html,EPA Water Services - RAD Event Information Service,"The RAD (Reach Address Database) Event Information Service is intended to allow dynamic yet efficient query access to RAD events and associated information. While the RAD utilizes a single common data structure, differing programs provide differing usage models of RAD data. The RAD information service leverages these usage models to combine an efficient query with a simple output data object. The creation of data usage models is an ongoing process.",2012-10-11T21:56:55Z,{0B19DC82-E751-433C-81A1-CBFC929C8B15},public,,http://edg.epa.gov/EPA_Data_License.html
EPA,http://qwwebservices.usgs.gov/,EPA Water Services - NWISQWResultService,"The WATERS Web and Database services provide open interfaces to complex analyses. These services make extensive use of the NHD and referenced program data in the RAD, and also integrate other WATERS program data. Designed as loosely coupled modular units, the services are developed in a common architecture. Retrieves water-quality result data.",2012-10-11T21:56:55Z,{C651A4DB-FB52-4B78-B5DA-FBCE8E399892},public,,http://edg.epa.gov/EPA_Data_License.html
EPA,http://www.epa.gov/waters/geoservices/docs/upstreamdownstream_service.html,EPA Water Services - Upstream/Downstream Service,"The WATERS Web and Database services provide open interfaces to complex analyses. These services make extensive use of the NHD and referenced program data in the RAD, and also integrate other WATERS program data. Designed as loosely coupled modular units, the services are developed in a common architecture. The Upstream/Downstream service is designed to provide standard stream network traversal and discovery functions. The traversal request may include a description of where, on the stream network, to begin the traversal, a description of where or how to end the traversal, and a list of one or more formats for the returned results. The Upstream/Downstream service receives the stream network traversal request, performs the traversal, and returns the requested results. The Upstream/Downstream service is an elemental function to be used by applications as a stand alone service or in combination with other WATERS (Watershed Assessment, Tracking & Environmental ResultS) services. All Upstream/Downstream executions require a navigation type and at least one start point. All other input parameters are optional.",2012-10-11T21:56:55Z,{523804B9-776F-4EA6-9255-70C8C56EF5E0},public,,http://edg.epa.gov/EPA_Data_License.html
EPA,http://www.epa.gov/waters/geoservices/docs/name_service.html,EPA Water Services - Name Service,"The WATERS Web and Database services provide open interfaces to complex analyses. These services make extensive use of the NHD and referenced program data in the RAD, and also integrate other WATERS program data. Designed as loosely coupled modular units, the services are developed in a common architecture. Advanced query function to find U.S. Geological Survey GNIS (Geographic Names Information System) water feature names and provide general location information for National Hydrography Dataset features.",2012-10-11T21:56:55Z,{DD49CB3D-7B55-41F1-A4EF-0C085CF6FEE5},public,,http://edg.epa.gov/EPA_Data_License.html
EPA,http://www.epa.gov/waters/tmdl/expert_query.html,WATERS Expert Query Tool,"The Expert Query Tool is a web-based reporting tool using the EPA�??s WATERS database.There are just three steps to using Expert Query:1. View Selection �?? Choose what type of information you want from the database.2. Data Element Selection �?? Choose specific data elements, which will appear as columns in the report, from the database.3. Entering Search Criteria �?? Refine the data to be displayed and arrange how it will appear in the report.Data can be output from Expert Query in two ways: as HTML (displayed in the user�??s web browser) or as a file (comma�?? or tab-delimited). Files downloaded to the user�??s PC can then be imported into a spreadsheet program such as Excel or a database such as Access and manipulated further.",2006-12-15T05:00:00Z,{0D772508-5CD2-A4F6-5BB1-93AE99E6C8AF},public,irregular,"Although these data have been processed successfully on a computer system at the Environmental Protection Agency, no warranty expressed or implied is made regarding the accuracy or utility of the data on any other system or for general or scientific purposes, nor shall the act of distribution constitute any such warranty. It is strongly recommended that careful attention be paid to the contents of the metadata file associated with  these data to evaluate data set limitations, restrictions or intended use. The U.S. Environmental Protection Agency shall not be held liable for improper or incorrect use of the data described and/or contained herein."
EPA,http://www.epa.gov/waters/geoservices/docs/results_queue_service.html,EPA Water Services - Results Queue Service,"The WATERS Web and Database services provide open interfaces to complex analyses. These services make extensive use of the NHD and referenced program data in the RAD, and also integrate other WATERS program data. Designed as loosely coupled modular units, the services are developed in a common architecture. The Results Queue Service functions to allow other WATERS (Watershed Assessment, Tracking & Environmental ResultS) services to process results asynchronously. At the center of the service is queue which receives and retains for a limited time the direct results of other WATERS services. Then using a simple identification code, the user may subsequently query the Results Queue Service to either determine if processing is complete or fetch completed results.",2012-10-11T21:56:55Z,{E6DD9507-CA3D-434C-9F2A-EBB02183CB5F},public,,http://edg.epa.gov/EPA_Data_License.html
EPA,http://www.state.nj.us/dep/njgs/geodata/dgs04-5.htm,Well Head Protection Areas For Public Non-Community Water Supply Wells In New Jersey,"A Well Head Protection Area for a Public Non-Community Water Supply Well (PNCWS) in New Jersey is a map area calculated around a Public Non-Community Water Supply well that delineates the horizontal extent of ground water captured by a well pumping at a specific rate over a two-, five-, and twelve-year period.  GIS coverages are produced for each PNCWS well and for the set of all PNCWS wells in each county and for the state. The individual, county and state coverages are prepared for distribution as uncompressed ARC/INFO export files.  The export files are combined with parameter-reference files for each county in compressed 'zip' files for delivery over the Internet.  Public Non-Community Water Supply Well Head Protection Area downloads therefore include line and polygon GIS coverages with associated database files, and parameter-reference files for data documentation. The documentation files are ASCII text files having the 'txt' extension.  WHPA delineation methods are described in ""Guidelines for Delineation of Well Head Protection Areas in New Jersey"" available as a download at www.state.nj.us/dep/njgs/whpaguide.pdf.",2010-03-05T05:00:00Z,{9E8BD0F4-BEBB-47E9-8614-A97FF57B1CCB},public,irregular,"This organization provides the geographic data as is. This organization makes no
guarantee or warranty concerning the accuracy of information contained in the
geographic data. Also, this organization makes no warranty either expressed or 
implied, regarding the condition of the product or its fitness for any particular
purpose. The burden for determining fitness for use lies entirely with the user.
Although these files have been processed successfully on computers at this
organization, no warranty is made by this organization regarding the use of these
data on any other system, nor does the fact of distribution constitute or imply
any such warranty."
EPA,http://www.epa.gov/region9/marine-debris/,Fleet Debris Levels,"Marine debris degrades ocean habitats, endangers marine and coastal wildlife, causes navigation hazards, results in economic losses to industry and governments, and threatens human health and safety. EPA Pacific Southwest (Region 9) is tapping existing programs and resources to advance the prevention, reduction and clean-up of marine debris in the North Pacific Ocean. EPA Pacific Southwest activities build upon specific recommendations of the Interagency Marine Debris Coordinating Committee by targeting threats and sources of debris and responding to debris impacts. EPA is initiating a three-pronged effort to reduce sources of marine debris, prevent trash from entering the oceans, and assess the human and ecosystem impacts and potential for cleanup.",2014-07-09T04:00:00Z,{F31E2DB5-936B-4A21-BEA4-955CBC73CA8F},public,R/P1M,https://edg.epa.gov/EPA_Data_License.html
EPA,http://www.epa.gov/waters/geoservices/docs/navigation_service.html,EPA Water Services - Navigation Service,"The Navigation service is a subset component of the Upstream/Downstream service designed to provide standard stream network traversal. The traversal request may include a description of where, on the stream network, to begin the traversal, and a description of where or how to end the traversal. All Upstream/Downstream executions require a navigation type and at least one start point. All other input parameters are optional.",2012-10-11T21:56:55Z,{801B2A2D-19E6-4F49-8BC9-4B4C160828AD},public,,http://edg.epa.gov/EPA_Data_License.html
EPA,http://water.epa.gov/type/lakes/lakessurvey_index.cfm,National Aquatic Resource Surveys (NARS) N/P Values for Lakes �?? National Lake Assessment,"The National Aquatic Resource Survey (NARS) findings for nutrients in streams and lakes highlight that nutrient pollution is widespread across the United States and impacts biological communities. The NARS analysis examined the range of values for nutrients in least-disturbed sites in a NLA region [NLA regions are modified Level III ecoregions from Omernik (1987)] and used this distribution for nitrogen and phosphorus to separate sites into those having high, medium, or low concentrations of nutrients. Sites identified as ""high"" were worse (i.e., had higher nutrient concentrations) than 95% of the sites used to define least-disturbed condition. Similarly, the 75th percentile of the least-disturbed distribution was used to distinguish between sites in medium and low condition. This means that sites reported as being as ""low"" were as good as or better than 75% of the sites used to define least-disturbed condition. A relative risk analysis of the data from this survey found that nationally streams and lakes have more than two times greater risk of having degraded biological communities when nutrient concentrations are high than when they are low. / For more information, please consult the National Lakes Assessment (NLA): Technical Appendix Report available online at: http://water.epa.gov/type/lakes/lakessurvey_index.cfm.",2003-01-01T05:00:00Z,{AB40E7D0-2F4E-4E14-BB97-E346ABF8BE08},public,irregular,https://edg.epa.gov/EPA_Data_License.html
EPA,http://geodata.epa.gov/ArcGIS/rest/services/OW/AquaticNuisanceSpeciesLocator/MapServer,Aquatic Nuisance Species Locator,"Data in this map has been collected by the United States Geological Survey's Nonindigenous Aquatic Species program located in Gainesville, Florida (http://nas.er.usgs.gov/default.aspx). This dataset may have some inaccuracies and is only current to June 15, 2012. / The species identified in this dataset are not inclusive of all aquatic nuisance species, but rather a subset identified to be at risk for transport by recreational activities such as boating and angling. Additionally, the locations where organisims have been identified are also not inclusive and should be treated as a guide. / Organisms are limited to the following: / American bullfrog, Asian clam, Asian shore crab, Asian tunicate, Australian spotted jellyfish, Chinese mitten crab, New Zealand mudsnail, Colonial sea squirt, Alewife, Bighead carp, Black carp, Flathead catfish, Grass carp, Green crab, Lionfish, Northern snakehead, Quagga mussel, Round Goby, Ruffe, Rusty crayfish, Sea lamprey, Silver carp, Spiny water flea, Veined rapa whelk, Zebra mussel",2012-11-30T05:00:00Z,{E9C96806-73EE-42C4-B65A-973EA91D77FB},public,irregular,https://edg.epa.gov/EPA_Data_License.html
EPA,https://cdxnode64.epa.gov/radnet-public/showMap.do,RadNet Map Interface for Near-Real-Time Radiation Monitoring Data,"RadNet is a national network of monitoring stations that regularly collect air, precipitation, drinking water, and milk samples for analysis of radioactivity. The RadNet network, which has stations in each state, has been used to track environmental releases of radioactivity from nuclear weapons tests and nuclear accidents.",2012-11-01T20:53:41Z,{9B282057-4B89-4A1B-AC84-B47930ACF7D2},public,,http://edg.epa.gov/EPA_Data_License.html
EPA,http://www.epa.gov/waterscience/basins/,"1:250,000 Scale Quadrangles of Landuse/LandcoverGIRAS Spatial Data of CONUS in BASINS","This is land use/land cover digital data collected byUSGS and converted to ARC/INFO by the EPA. Thisdata which resides in EPA's Spatial Data Library (ESDLS),is useful for environmental assessment of land usepatterns with respect to water quality analysis, growthmanagement, and other types of environmental impactassessment. GIRAS LU/LC is being used in EPA's,Office of Water/OST BASINS water quality assessment model.",2007-01-01T05:00:00Z,{D4FAFE7C-CC25-3EAC-7056-B3DD7AA42431},public,irregular,"Although these data have been processed successfully on a computersystem at Tetra Tech, Inc., no warranty expressed or implied ismade regarding the accuracy or utility of the data on any othersystem or for general or scientific purposes, nor shall the act ofdistribution constitute any such warranty. This disclaimer appliesboth to individual use of the data and aggregate use with otherdata. It is also strongly recommended that careful attention bepaid to the contents of the metadata file associated with thesedata.  The U.S. Environmental Protection Agency nor Tetra Tech,Inc. shall not be held liable for improper or incorrect use of thedata described and/or contained herein."
EPA,http://enviroatlas.epa.gov/arcgis/rest/services/Communities/ESC_TFL_CleanAir/MapServer,"EnviroAtlas - Metrics for Tampa, FL","This EnviroAtlas web service supports research and online mapping activities related to EnviroAtlas (http://enviroatlas.epa.gov/EnviroAtlas). The layers in this web service depict ecosystem services at the census block group level for the community of Tampa, Florida. These layers illustrate the ecosystems and natural resources that are associated with clean air (http://enviroatlas.epa.gov/arcgis/rest/services/Communities/ESC_TFL_CleanAir/MapServer); clean and plentiful water (http://enviroatlas.epa.gov/arcgis/rest/services/Communities/ESC_TFL_CleanPlentifulWater/MapServer); natural hazard mitigation (http://enviroatlas.epa.gov/arcgis/rest/services/Communities/ESC_TFL_NaturalHazardMitigation/MapServer); climate stabilization (http://enviroatlas.epa.gov/arcgis/rest/services/Communities/ESC_TFL_ClimateStabilization/MapServer); food, fuel, and materials (http://enviroatlas.epa.gov/arcgis/rest/services/Communities/ESC_TFL_FoodFuelMaterials/MapServer); recreation, culture, and aesthetics (http://enviroatlas.epa.gov/arcgis/rest/services/Communities/ESC_TFL_RecreationCultureAesthetics/MapServer); and biodiversity conservation (http://enviroatlas.epa.gov/arcgis/rest/services/Communities/ESC_TFL_BiodiversityConservation/MapServer) , and factors that place stress on those resources. EnviroAtlas allows the user to interact with a web-based, easy-to-use, mapping application to view and analyze multiple ecosystem services for the conterminous United States as well as detailed metrics for select communities. Additional descriptive information about each attribute in this web service is located within each web service layer (see Full Metadata hyperlink) or can be found in its associated EnviroAtlas Fact Sheet (http://enviroatlas.epa.gov/EnviroAtlas/DataFactSheets).",2013-05-03T04:00:00Z,{86E20C56-0A43-4C92-8ABC-93546EC140D5},public,irregular,https://edg.epa.gov/EPA_Data_License.htm
EPA,http://enviroatlas.epa.gov/arcgis/rest/services/PeopleBuiltSpaces/ESC_TFL_demographics/MapServer,"EnviroAtlas - Tampa, FL - Demographics by Block Group Web Service",This EnviroAtlas web service supports research and online mapping activities related to EnviroAtlas (http://enviroatlas.epa.gov/EnviroAtlas). This EnviroAtlas dataset is a summary of key demographic groups for the Atlas Area. The purpose of this dataset is to highlight areas where the population is more vulnerable due to age or economic disadvantage. These populations may be at a higher risk for detrimental impacts to their well-being. Additional descriptive information about each attribute in this dataset can be found in its associated EnviroAtlas Fact Sheet (http://enviroatlas.epa.gov/EnviroAtlas/DataFactSheets).,2013-12-02T05:00:00Z,{DDAE0DA5-8641-4BAB-A7D8-541E3C2F90A2},public,irregular,https://edg.epa.gov/EPA_Data_License.htm
EPA,http://camddataandmaps.epa.gov/gdm/index.cfm?fuseaction=allowances.prepackageddatasets&AQW_fuseaction=allowances.prepackageddatasets&AQW_criteria_fuseaction=allowances.program&AQW_tabMode=1&AQW_datasetSelection=PrePackaged+Datasets&AQW_menuSelection=&AQW_criteriaAction=reset&AQW_requiredSelectionMade=false&AQW_requiredMenuItem=&divinstructions=Download+allowance+transaction+and+holdings+data.+,Clean Air Markets Clean Air Interstate Rule (CAIR) NOx Ozone Season Program Allowance Holdings,Current allowance holdings for entities regulated under CAIR NOx Ozone Season cap and trade program ... power plants and other facilities,2012-11-30T15:50:02Z,{E2EA7B02-E563-4EAC-8848-5FCA6411E941},public,,http://edg.epa.gov/EPA_Data_License.html
EPA,http://java.epa.gov/castnet/reportPage.do,Clean Air Status and Trends Network (CASTNET) Download Data Module,"The CASTNET Download Data module allows users to select, view, and download CASTNET data (Raw, Aggregate, Modeled & Factual Data) based on user selections. CASTNET sites are located in or near rural areas and sensitive ecosystems collecting data on ambient levels of pollutants where urban influences are minimal. CASTNET, which was initiated in 1986, is able to provide data needed to assess and report on geographic patterns and long-term temporal trends in ambient air pollution and dry atmospheric deposition. CASTNET can also be used to track changes in measurements associated with climate change (such as temperature and precipitation).",2012-11-30T15:50:02Z,{5936F352-D87F-4D70-B5C2-1EDA46CD0CF1},public,,http://edg.epa.gov/EPA_Data_License.html
EPA,http://camddataandmaps.epa.gov/gdm/index.cfm?fuseaction=facilities.wizard,Clean Air Markets - Facility Attributes and Contacts Query Wizard,"The Facility Attributes and Contacts Query Wizard is part of a suite of Clean Air Markets-related tools that are accessible at http://camddataandmaps.epa.gov/gdm/index.cfm. The Facility Attributes and Contact module gives the user access to current and historical facility, owner, and representative data using custom queries, via the Facility Attributes Query Wizard, or Quick Reports. In addition, data regarding EPA, State, and local agency staff are also available. The Query Wizard can be used to search for data about a facility or facilities by identifying characteristics such as associated programs, owners, representatives, locations, and unit characteristics, facility inventories, and classifications. EPA's Clean Air Markets Division (CAMD) includes several market-based regulatory programs designed to improve air quality and ecosystems. The most well-known of these programs are EPA's Acid Rain Program and the NOx Programs, which reduce emissions of sulfur dioxide (SO2) and nitrogen oxides (NOx)-compounds that adversely affect air quality, the environment, and public health. CAMD also plays an integral role in the development and implementation of the Clean Air Interstate Rule (CAIR).",2012-11-30T15:50:02Z,{87A68F4A-5AA8-4974-A266-187D0378E3EB},public,,http://edg.epa.gov/EPA_Data_License.html
EPA,http://www.epa.gov/roe/,Ecological Hubs and Corridors Web Service,NEF hubs were region grouped and then converted to polygons. Analysis was done with the region grouped grid data and then joined to the polygon.,2014-01-01T05:00:00Z,{EE0477A4-3CD3-4675-8429-9F82DCFE18F0},public,irregular,""
EPA,http://www.epa.gov/tri/tridotnet/,TRI.NET data engine for EPA Toxics Release Inventory,"TRI.NET (""T-R-I-dot-net"") is a new application developed by EPA to help you analyze Toxics Release Inventory (TRI) information. This application is capable of easily and quickly performing complex queries to help you understand TRI information. It is especially useful for analysts who need a highly interactive environment in order to refine their queries and analyses in an efficient and productive way. TRI.NET makes heavy use of mashups using the latest mapping technologies to help visualize where TRI releases are occurring.",2012-11-29T20:33:07Z,{111E8E4C-0FB8-4334-A739-CB54BC9568A3},public,,http://edg.epa.gov/EPA_Data_License.html
EPA,https://edg.epa.gov/data/Public/Katrina/MurphyOilSpillBndy.zip,Hurricane Katrina - Murphy Oil Spill Boundary,"Hurricane Katrina made landfall in August 2005, causing widespread devastation along the Gulf Coast of the United States. EPA emergency response personnel worked with FEMA and state and local agencies to respond to the emergencies throughout the Gulf.",2013-09-25T04:00:00Z,{26B145ED-F8AD-43AD-9EE4-5664E52BD403},public,irregular,https://edg.epa.gov/EPA_Data_License.html
EPA,http://camddataandmaps.epa.gov/gdm/index.cfm?fuseaction=allowances.wizard&AQW_datasetSelection=,Clean Air Markets - Allowances Query Wizard,"The Allowances Query Wizard is part of a suite of Clean Air Markets-related tools that are accessible at http://camddataandmaps.epa.gov/gdm/index.cfm. The Allowances module allows the user to view allowance data associated with EPA's emissions trading programs. Allowance data can be specified and organized using the Allowance Query Wizard to find allowances information associated with specific accounts, companies, transactions, programs, facilities, representatives, allowance type, or by date. Quick Reports and Prepackaged Datasets are also available for data that are commonly requested. EPA's Clean Air Markets Division (CAMD) includes several market-based regulatory programs designed to improve air quality and ecosystems. The most well-known of these programs are EPA's Acid Rain Program and the NOx Programs, which reduce emissions of sulfur dioxide (SO2) and nitrogen oxides (NOx)-compounds that adversely affect air quality, the environment, and public health. CAMD also plays an integral role in the development and implementation of the Clean Air Interstate Rule (CAIR).",2012-11-30T15:50:02Z,{94AAED23-8775-4A2F-BFB7-74F972F5251C},public,,http://edg.epa.gov/EPA_Data_License.html
EPA,http://camddataandmaps.epa.gov/gdm/index.cfm?fuseaction=factstrends.choose,Clean Air Markets - Quick Facts and Trends,"The Quick Facts and Trends module is part of a suite of Clean Air Markets-related tools that are accessible at http://camddataandmaps.epa.gov/gdm/index.cfm. The Quick Facts and Trends module provides charts and graphs depicting national trends in emissions and heat input. The user can view, for example, data pertaining to the top annual and ozone season emitters of a selected pollutant, the number of units and facilities in a particular state, and trends in sulfur dioxide, nitrogen oxide and carbon dioxide emissions. EPA's Clean Air Markets Division (CAMD) includes several market-based regulatory programs designed to improve air quality and ecosystems. The most well-known of these programs are EPA's Acid Rain Program and the NOx Programs, which reduce emissions of sulfur dioxide (SO2) and nitrogen oxides (NOx)-compounds that adversely affect air quality, the environment, and public health. CAMD also plays an integral role in the development and implementation of the Clean Air Interstate Rule (CAIR).",2012-11-30T15:50:02Z,{CD89D57C-E360-4919-A421-2599D4DDA6A8},public,,http://edg.epa.gov/EPA_Data_License.html
